Designator,Val,Package,MidX,MidY,Rotation,Layer
"C32","C_Small","C_0402_1005Metric",145.800000,-140.900000,90.000000,top
"C33","C_Small","C_0402_1005Metric",148.700000,-140.900000,90.000000,top
"C34","4.7u","C_0603_1608Metric",149.975000,-142.550000,180.000000,top
"C35","100n","C_0402_1005Metric",160.030000,-135.900000,0.000000,top
"C36","1u","C_0402_1005Metric",165.300000,-126.700000,0.000000,top
"C37","0.1u","C_0402_1005Metric",149.800000,-134.200000,180.000000,top
"C38","1u","C_0402_1005Metric",150.400000,-139.000000,180.000000,top
"C39","100p","C_0402_1005Metric",149.900000,-138.000000,180.000000,top
"C44","10u","C_0805_2012Metric",116.330000,-121.280000,0.000000,top
"C52","10u","C_1210_3225Metric",99.025000,-73.050000,180.000000,top
"C53","10u","C_1210_3225Metric",101.000000,-77.025000,-90.000000,top
"C54","10u","C_1210_3225Metric",101.000000,-89.525000,90.000000,top
"C58","10u","C_1210_3225Metric",158.500000,-88.975000,90.000000,top
"C59","470u","CAP-TH_BD16.0-P7.50-D1.2-FD",101.050000,-63.000000,0.000000,top
"C60","470u","CAP-TH_BD16.0-P7.50-D1.2-FD",93.300000,-98.050000,-90.000000,top
"C62","10u","C_1210_3225Metric",159.825000,-73.500000,0.000000,top
"C63","10u","C_1210_3225Metric",158.300000,-77.500000,-90.000000,top
"C66","470u","CAP-TH_BD16.0-P7.50-D1.2-FD",158.950000,-63.000000,180.000000,top
"C67","470u","CAP-TH_BD16.0-P7.50-D1.2-FD",165.400000,-98.950000,-90.000000,top
"CN1","XT60PW-M","CONN-TH_XT60PW-M",92.905000,-80.699880,0.000000,top
"CN2","XT60PW-M","CONN-TH_XT60PW-M",166.695000,-81.600120,180.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",175.715022,-136.103263,90.000000,top
"J2","Conn_01x05","PinSocket_1x05_P2.54mm_Vertical",167.500000,-139.500000,0.000000,top
"L2","220u","IND-SMD_L5.8-W5.2",148.800000,-103.250000,-90.000000,top
"L3","220u","IND-SMD_L5.8-W5.2",110.300000,-103.500000,-90.000000,top
"L5","2n","L_0402_1005Metric",152.000000,-140.950000,90.000000,top
"L6","2n","L_0402_1005Metric",147.300000,-141.400000,0.000000,top
"L7","L","33x10mm toroid",123.200001,-87.500000,-90.000000,top
"L8","L","33x10mm toroid",123.075000,-79.075000,-90.000000,top
"OLED1","HS13L03W2C01","OLED-TH_L35.4-W33.5_HS13L03W2C01",112.900000,-149.200000,180.000000,top
"R1","100k","R_0805_2012Metric",158.250000,-111.712500,90.000000,top
"R2","453k","R_0402_1005Metric",155.700000,-101.810000,-90.000000,top
"R3","49.9k","R_0402_1005Metric",157.300000,-104.400000,0.000000,top
"R6","100k","R_0805_2012Metric",100.400000,-114.100000,-90.000000,top
"R8","2m","R_2512_6332Metric",142.600000,-87.000000,0.000000,top
"R9","200k","R_0402_1005Metric",113.200000,-109.200000,-90.000000,top
"R10","63k","R_0402_1005Metric",113.200000,-111.300000,-90.000000,top
"R11","24nH","R_0402_1005Metric",147.140000,-137.000000,180.000000,top
"R12","10k","R_0402_1005Metric",163.300000,-126.700000,0.000000,top
"R15","0","R_0402_1005Metric",166.810000,-136.700000,180.000000,top
"R16","0","R_0402_1005Metric",166.800000,-135.610000,180.000000,top
"R19","10k","R_0402_1005Metric",84.750000,-72.050000,0.000000,top
"R23","2m","R_2512_6332Metric",142.562500,-79.400000,0.000000,top
"R36","5.1k","R_0402_1005Metric",112.850000,-146.950000,180.000000,top
"R37","5.1k","R_0402_1005Metric",110.550000,-146.560000,90.000000,top
"R41","4.125k","R_0402_1005Metric",168.600000,-117.190000,180.000000,top
"R42","4.125k","R_0402_1005Metric",177.210000,-110.810001,-90.000000,top
"R43","4.125k","R_0402_1005Metric",177.190000,-112.729999,-90.000000,top
"R44","4.125k","R_0402_1005Metric",177.230000,-114.659999,-90.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",164.500000,-122.900000,-90.000000,top
"SW2","SW_Push","SW_Push_SPST_NO_Alps_SKRK",169.200000,-122.900000,-90.000000,top
"SW3","SW_Push","SW_Push_SPST_NO_Alps_SKRK",161.700000,-146.400000,90.000000,top
"SW4","SW_Push","SW_Push_SPST_NO_Alps_SKRK",156.200000,-146.300000,90.000000,top
"SW5","SW_Push","SW_Push_SPST_NO_Alps_SKRK",150.700000,-146.300000,90.000000,top
"SW6","SW_Push","SW_Push_SPST_NO_Alps_SKRK",144.900000,-146.300000,90.000000,top
"U1","S130N10LF","TDFN-8_L5.9-W5.2-P1.27-LS6.2-BL",151.090000,-86.600000,-90.000000,top
"U2","S130N10LF","TDFN-8_L5.9-W5.2-P1.27-LS6.2-BL",151.090000,-80.100000,-90.000000,top
"U3","S130N10LF","TDFN-8_L5.9-W5.2-P1.27-LS6.2-BL",150.980000,-92.650000,90.000000,top
"U4","S130N10LF","TDFN-8_L5.9-W5.2-P1.27-LS6.2-BL",151.010000,-74.000000,90.000000,top
"U5","LM5164DDAR","SO-8_L4.9-W3.9-P1.27-LS6.0-BL-EP",154.350000,-109.550000,0.000000,top
